사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
2019년 1월 8일 11시,서울특별시 노원구 하계동,중상사고,0,2,1,0,승용,상해없음,승용,경상
2019년 1월 8일 13시,서울특별시 중랑구 묵동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 8일 14시,서울특별시 종로구 장사동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 8일 14시,서울특별시 강남구 신사동,중상사고,0,2,0,0,화물,상해없음,보행자,중상
2019년 1월 8일 14시,서울특별시 송파구 방이동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 14시,서울특별시 도봉구 도봉동,중상사고,0,1,0,0,승용,기타불명,보행자,중상
2019년 1월 8일 15시,서울특별시 동작구 상도동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 1월 8일 16시,서울특별시 서초구 양재동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 17시,서울특별시 서대문구 홍은동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 8일 18시,서울특별시 노원구 중계동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 19시,서울특별시 중랑구 망우동,중상사고,0,1,2,1,승용,부상신고,승용,중상
2019년 1월 8일 19시,서울특별시 양천구 목동,중상사고,0,1,1,0,승용,중상,승용,경상
2019년 1월 8일 20시,서울특별시 종로구 창신동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
2019년 1월 8일 20시,서울특별시 도봉구 쌍문동,중상사고,0,1,1,0,승용,상해없음,이륜,경상
2019년 1월 8일 21시,서울특별시 은평구 수색동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 21시,서울특별시 영등포구 영등포동5가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 21시,서울특별시 도봉구 창동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 8일 22시,서울특별시 중구 태평로2가,중상사고,0,2,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 22시,서울특별시 송파구 잠실동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 23시,서울특별시 마포구 서교동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 1월 8일 23시,서울특별시 노원구 중계동,중상사고,0,1,1,0,승용,중상,승용,경상
2019년 1월 9일 00시,서울특별시 강북구 수유동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 9일 00시,서울특별시 강서구 화곡동,중상사고,0,1,1,0,승용,상해없음,승용,상해없음
2019년 1월 9일 00시,서울특별시 구로구 개봉동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 9일 00시,서울특별시 서초구 우면동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 9일 01시,서울특별시 양천구 신정동,중상사고,0,1,4,0,승용,상해없음,승용,중상
2019년 1월 9일 04시,서울특별시 영등포구 여의도동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 05시,서울특별시 중랑구 중화동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 9일 06시,서울특별시 종로구 신문로1가,중상사고,0,1,0,0,건설기계,상해없음,보행자,중상
2019년 1월 9일 06시,서울특별시 강남구 청담동,중상사고,0,1,0,0,승용,상해없음,승용,상해없음
2019년 1월 9일 08시,서울특별시 중구 만리동1가,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 1월 9일 09시,서울특별시 도봉구 창동,중상사고,0,2,0,0,자전거,중상,보행자,중상
2019년 1월 9일 10시,서울특별시 광진구 중곡동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 10시,서울특별시 양천구 목동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 11시,서울특별시 중구 쌍림동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 9일 11시,서울특별시 중랑구 묵동,중상사고,0,2,1,0,승용,상해없음,승용,중상
2019년 1월 9일 11시,서울특별시 서초구 양재동,중상사고,0,1,2,0,승용,경상,승용,중상
2019년 1월 9일 11시,서울특별시 도봉구 창동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 9일 12시,서울특별시 중구 신당동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
