,index,사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
5425,18730,2021년 1월 21일 17시,서울특별시 용산구 한남동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5426,18734,2021년 1월 21일 19시,서울특별시 강동구 암사동,중상사고,0,1,0,0,이륜,상해없음,개인형이동수단(PM),중상
5427,18735,2021년 1월 21일 19시,서울특별시 송파구 방이동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5428,18741,2021년 1월 22일 08시,서울특별시 강남구 신사동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5429,18744,2021년 1월 22일 13시,서울특별시 성동구 성수동1가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5430,18753,2021년 1월 22일 18시,서울특별시 구로구 개봉동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5431,18762,2021년 1월 23일 06시,서울특별시 강북구 수유동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5432,18763,2021년 1월 23일 11시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5433,18769,2021년 1월 23일 16시,서울특별시 광진구 구의동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5434,18770,2021년 1월 23일 16시,서울특별시 노원구 중계동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5435,18775,2021년 1월 23일 20시,서울특별시 구로구 개봉동,사망사고,1,0,0,0,승용,상해없음,이륜,사망
5436,18778,2021년 1월 23일 21시,서울특별시 강남구 수서동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5437,18781,2021년 1월 24일 11시,서울특별시 동대문구 회기동,중상사고,0,1,1,0,이륜,경상,이륜,중상
5438,18786,2021년 1월 24일 14시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5439,18787,2021년 1월 24일 14시,서울특별시 강남구 신사동,중상사고,0,1,0,0,승용,기타불명,이륜,중상
5440,18791,2021년 1월 24일 20시,서울특별시 노원구 중계동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5441,18792,2021년 1월 24일 21시,서울특별시 송파구 잠실동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
5442,18793,2021년 1월 24일 22시,서울특별시 영등포구 대림동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
5443,18805,2021년 1월 25일 20시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5444,18808,2021년 1월 25일 20시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5445,18810,2021년 1월 25일 22시,서울특별시 용산구 용산동5가,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5446,18815,2021년 1월 26일 10시,서울특별시 성북구 동선동1가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5447,18818,2021년 1월 26일 11시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5448,18819,2021년 1월 26일 14시,서울특별시 종로구 평창동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5449,18821,2021년 1월 26일 16시,서울특별시 강북구 수유동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5450,18828,2021년 1월 26일 18시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5451,18829,2021년 1월 26일 20시,서울특별시 동대문구 장안동,사망사고,1,0,0,0,승용,상해없음,이륜,사망
5452,18831,2021년 1월 26일 21시,서울특별시 강남구 삼성동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5453,18832,2021년 1월 26일 22시,서울특별시 용산구 이촌동,중상사고,0,1,1,0,승용,상해없음,이륜,중상
5454,18836,2021년 1월 27일 09시,서울특별시 중구 방산동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5455,18838,2021년 1월 27일 11시,서울특별시 중구 초동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
