,자치구,행정동,사망자수,중상자수,경상자수
642,도봉구,도봉동,0,1,1
643,강남구,개포동,0,1,0
644,강남구,도곡동,0,1,0
645,강남구,논현동,0,1,0
646,중랑구,망우동,0,1,0
647,성북구,안암동1가,0,1,0
648,은평구,신사동,0,2,0
649,동대문구,용두동,0,1,0
650,동대문구,용두동,0,1,0
651,송파구,풍납동,0,1,0
652,관악구,봉천동,0,1,0
653,성동구,마장동,0,1,0
654,종로구,신문로1가,0,1,0
655,광진구,자양동,0,1,0
656,강서구,화곡동,1,0,0
657,서초구,서초동,0,1,0
658,성북구,동선동4가,0,1,0
659,양천구,신월동,0,1,0
660,중구,남대문로5가,0,1,0
661,강북구,수유동,0,1,0
662,관악구,남현동,0,1,0
663,영등포구,대림동,0,1,0
664,성북구,동선동2가,0,1,0
665,종로구,명륜4가,0,1,0
666,강서구,방화동,0,1,0
667,송파구,잠실동,0,2,2
668,강북구,번동,1,0,0
669,강북구,미아동,0,1,1
670,동대문구,장안동,0,1,0
671,동대문구,장안동,0,1,0
672,동대문구,신설동,0,1,0
673,관악구,신림동,0,1,0
674,강남구,도곡동,0,1,0
675,은평구,진관동,0,1,0
676,송파구,잠실동,0,1,0
677,강동구,길동,0,2,0
678,영등포구,영등포동8가,0,1,0
679,중구,충무로3가,0,1,0
680,중랑구,면목동,0,1,0
681,강북구,수유동,0,1,0
682,강서구,화곡동,0,1,0
683,동작구,사당동,0,1,0
684,도봉구,도봉동,0,1,0
685,강동구,길동,0,2,0
686,동작구,노량진동,0,2,0
687,종로구,세종로,0,1,0
688,강남구,개포동,0,1,1
689,금천구,시흥동,0,1,1
690,영등포구,신길동,0,1,0
691,강남구,자곡동,0,2,0
692,중구,흥인동,0,2,0
693,강동구,명일동,0,1,0
694,동작구,대방동,0,1,0
695,구로구,개봉동,0,1,0
696,강남구,청담동,0,1,0
697,서대문구,신촌동,0,1,0
698,동대문구,용두동,0,1,0
699,성북구,돈암동,0,2,4
700,중랑구,상봉동,0,1,0
701,강북구,미아동,0,1,0
702,송파구,신천동,0,1,1
703,강남구,도곡동,0,1,0
704,성동구,성수동2가,1,0,0
705,종로구,종로5가,0,1,0
706,종로구,종로2가,0,1,0
707,용산구,한남동,0,1,0
708,관악구,봉천동,0,1,0
709,양천구,목동,0,1,0
710,관악구,신림동,0,1,0
711,동작구,상도동,0,1,0
712,마포구,대흥동,0,1,0
713,강북구,미아동,0,1,0
714,동작구,사당동,0,1,0
715,성북구,하월곡동,0,1,0
716,강서구,화곡동,0,1,0
717,광진구,중곡동,0,1,0
718,중랑구,면목동,0,1,0
719,영등포구,여의도동,0,2,0
720,성동구,성수동2가,0,1,0
721,구로구,구로동,0,1,0
722,강북구,미아동,0,1,0
723,동대문구,답십리동,0,1,0
724,송파구,잠실동,0,1,0
725,중랑구,면목동,0,1,0
726,중랑구,망우동,0,1,0
727,구로구,신도림동,0,1,0
728,강북구,미아동,0,1,0
729,서대문구,홍은동,0,1,0
730,구로구,오류동,0,1,0
731,양천구,신정동,0,1,1
732,은평구,응암동,0,1,0
733,강남구,신사동,0,1,0
734,서초구,반포동,0,1,0
735,도봉구,창동,0,1,0
736,강북구,미아동,0,1,0
737,송파구,가락동,0,1,0
738,종로구,청진동,0,1,0
739,은평구,응암동,0,1,0
740,용산구,이태원동,0,1,0
741,관악구,봉천동,0,1,0
742,노원구,월계동,0,1,0
743,중랑구,중화동,0,1,0
744,구로구,온수동,0,1,0
745,은평구,응암동,0,1,0
746,중구,신당동,0,1,0
747,송파구,가락동,0,1,0
748,노원구,월계동,0,1,0
749,관악구,신림동,0,1,0
750,강남구,논현동,0,1,0
751,강남구,역삼동,0,1,0
752,노원구,월계동,0,1,0
753,성동구,하왕십리동,0,1,0
754,은평구,응암동,0,1,0
755,영등포구,여의도동,0,1,0
756,관악구,봉천동,0,1,0
757,강동구,명일동,0,1,0
758,용산구,한강로3가,0,1,0
759,구로구,오류동,0,1,0
760,동작구,상도1동,0,1,0
761,송파구,방이동,0,1,0
762,송파구,오금동,0,1,0
763,구로구,구로동,0,1,0
764,동작구,상도동,0,1,0
765,강동구,천호동,0,1,0
766,강북구,번동,0,2,1
767,관악구,신림동,0,1,0
768,강남구,역삼동,0,1,0
769,강서구,화곡동,0,1,0
770,송파구,가락동,0,1,0
771,노원구,중계동,0,1,0
772,은평구,증산동,0,1,0
773,은평구,응암동,0,1,0
774,동대문구,답십리동,0,1,0
775,중구,을지로4가,0,1,0
776,관악구,신림동,0,1,0
777,동대문구,전농동,0,1,0
778,금천구,독산동,0,1,0
779,금천구,독산동,0,1,0
780,서대문구,충정로3가,0,1,0
781,중구,흥인동,0,1,0
782,강남구,대치동,0,1,1
783,성동구,성수동1가,0,1,0
784,광진구,화양동,0,1,0
785,중구,을지로4가,0,1,0
786,노원구,상계동,0,1,0
787,동대문구,답십리동,0,1,0
788,노원구,공릉동,0,1,0
789,강남구,논현동,0,1,0
790,성동구,마장동,0,1,0
791,서대문구,홍은동,1,0,0
792,구로구,구로동,0,1,0
793,종로구,종로2가,0,1,0
794,서대문구,홍제동,0,1,0
795,동작구,흑석동,0,1,1
796,중구,남대문로5가,0,1,0
797,종로구,창신동,0,1,0
798,용산구,한남동,0,1,0
799,구로구,개봉동,0,1,0
800,강북구,번동,0,2,0
801,중랑구,상봉동,0,1,0
802,강남구,역삼동,0,1,0
803,송파구,방이동,0,1,4
804,종로구,통의동,0,1,0
805,동대문구,용두동,0,1,0
806,강남구,삼성동,0,1,0
807,마포구,동교동,0,1,1
808,금천구,시흥동,0,1,1
809,동작구,상도동,0,1,0
810,용산구,동자동,0,1,0
811,서초구,잠원동,0,1,0
812,성북구,삼선동5가,0,2,0
813,강동구,둔촌동,0,1,0
814,관악구,신림동,0,1,0
815,강북구,미아동,0,1,0
816,구로구,구로동,0,1,0
817,도봉구,방학동,0,1,0
818,성동구,성수동1가,0,1,0
819,관악구,봉천동,0,1,0
820,구로구,오류동,0,2,0
821,영등포구,대림동,0,1,0
822,금천구,시흥동,0,1,0
823,도봉구,창동,0,1,2
824,양천구,신정동,0,1,0
825,은평구,응암동,0,1,2
826,동작구,사당동,0,1,0
827,서대문구,연희동,0,1,0
828,구로구,구로동,0,1,1
829,강동구,천호동,0,1,0
830,성북구,보문동2가,0,1,0
