구_x,행정동,1인가구,행정동코드,생활인구,도로면적,사망자수,중상자수,경상자수
영등포구,신길6동,2980,11560680.0,21594.0,0.157495,0.0,0.0,0.0
영등포구,신길7동,1599,11560690.0,13148.0,0.155072,0.0,0.0,0.0
영등포구,대림1동,2269,11560700.0,16566.0,0.118727,0.0,47.0,3.0
영등포구,대림2동,2783,11560710.0,18937.0,0.133265,0.0,2.0,0.0
영등포구,대림3동,2970,11560720.0,25170.0,0.230185,0.0,2.0,0.0
영등포구,영등포본동,3226,11560515.0,19106.0,0.247146,0.0,64.0,6.0
영등포구,영등포동,10170,11560535.0,52908.0,0.305298,0.0,10.0,6.0
영등포구,도림동,3625,11560585.0,14379.0,0.215647,0.0,11.0,3.0
영등포구,문래동,2947,11560605.0,38798.0,0.361027,0.0,43.0,7.0
동작구,노량진2동,3064,11590520.0,18209.0,0.110656,0.0,9.0,2.0
동작구,상도1동,8604,11590530.0,43167.0,0.261079,0.0,8.0,2.0
동작구,상도2동,4013,11590540.0,22042.0,0.169442,1.0,88.0,18.0
동작구,상도3동,4214,11590550.0,18251.0,0.10374,0.0,0.0,0.0
동작구,상도4동,4618,11590560.0,21391.0,0.129675,0.0,0.0,0.0
동작구,사당1동,6345,11590620.0,25856.0,0.136591,0.0,62.0,6.0
동작구,사당3동,2583,11590640.0,20724.0,0.159068,0.0,0.0,0.0
동작구,사당4동,2651,11590650.0,11757.0,0.065702,0.0,0.0,0.0
동작구,사당5동,2007,11590651.0,10798.0,0.098553,0.0,0.0,0.0
동작구,대방동,6011,11590660.0,40643.0,0.267995,0.0,20.0,4.0
동작구,신대방1동,3128,11590670.0,16715.0,0.107198,2.0,40.0,11.0
동작구,신대방2동,3672,11590680.0,25210.0,0.178087,0.0,0.0,0.0
동작구,흑석동,4562,11590605.0,31408.0,0.290472,1.0,16.0,2.0
동작구,노량진1동,5604,11590510.0,35625.0,0.273182,1.0,41.0,6.0
동작구,사당2동,3025,11590630.0,31559.0,0.475475,0.0,0.0,0.0
관악구,보라매동,5182,11620525.0,16359.0,0.193116,0.0,0.0,0.0
관악구,청림동,1403,11620545.0,10527.0,0.07623,0.0,0.0,0.0
관악구,행운동,9674,11620575.0,23076.0,0.182952,2.0,211.0,34.0
관악구,낙성대동,6341,11620585.0,23085.0,0.576807,0.0,3.0,0.0
관악구,중앙동,5565,11620615.0,15531.0,0.099099,0.0,0.0,0.0
관악구,인헌동,6776,11620625.0,24971.0,0.274428,0.0,4.0,0.0
관악구,남현동,3855,11620630.0,23505.0,0.830907,0.0,14.0,0.0
관악구,서원동,7607,11620645.0,22592.0,0.165165,0.0,0.0,0.0
관악구,신원동,5505,11620655.0,16609.0,0.139755,0.0,7.0,0.0
관악구,서림동,7735,11620665.0,16334.0,0.251559,0.0,0.0,0.0
관악구,신사동,7282,11620685.0,20920.0,0.162624,1.0,70.0,7.0
관악구,신사동,7282,11620685.0,20920.0,0.162624,0.0,0.0,0.0
관악구,신사동,7282,11620685.0,20920.0,0.454734,1.0,70.0,7.0
관악구,신사동,7282,11620685.0,20920.0,0.454734,0.0,0.0,0.0
강남구,신사동,2047,11680510.0,37805.0,0.162624,1.0,70.0,7.0
강남구,신사동,2047,11680510.0,37805.0,0.162624,0.0,0.0,0.0
강남구,신사동,2047,11680510.0,37805.0,0.454734,1.0,70.0,7.0
강남구,신사동,2047,11680510.0,37805.0,0.454734,0.0,0.0,0.0
관악구,신림동,11942,11620695.0,30427.0,0.137214,5.0,237.0,48.0
관악구,난향동,1354,11620715.0,10339.0,0.20328,0.0,2.0,1.0
관악구,조원동,5581,11620725.0,27902.0,0.170247,0.0,0.0,0.0
관악구,대학동,9718,11620735.0,31972.0,2.10903,0.0,1.0,0.0
관악구,은천동,5723,11620605.0,28809.0,0.198198,0.0,0.0,0.0
관악구,성현동,3082,11620565.0,22292.0,0.172788,0.0,3.0,1.0
